Date,Open,High,Low,Close,Adj Close,Volume,NextClose,Num
2019-10-10,77.720001,78.489998,77.029999,78.300003,78.300003,2393300,79.529999,82
2019-10-11,78.660004,80.029999,78.550003,79.529999,79.529999,2070000,78.629997,83
2019-10-14,79.529999,79.529999,78.57,78.629997,78.629997,1982300,79.739998,84
2019-10-15,78.949997,79.940002,78.800003,79.739998,79.739998,1805000,80.010002,85
2019-10-16,79.739998,80.18,79.599998,80.010002,80.010002,2261500,81.050003,86
2019-10-17,80.449997,81.18,79.169998,81.050003,81.050003,3903800,81.599998,87
2019-10-18,81.139999,82.330002,80.779999,81.599998,81.599998,3197200,82.089996,88
2019-10-21,81.769997,82.529999,81.709999,82.089996,82.089996,2899400,81.669998,89
2019-10-22,82.529999,82.57,81.650002,81.669998,81.669998,2141800,81.360001,90
2019-10-23,81.440002,81.75,81.07,81.360001,81.360001,1256200,81.480003,91
2019-10-24,81.25,81.629997,81.019997,81.480003,81.480003,1884900,81.620003,92
2019-10-25,81.68,82.18,81.510002,81.620003,81.620003,2006100,82.389999,93
2019-10-28,82.010002,83.120003,81.760002,82.389999,82.389999,3054300,81.769997,94
2019-10-29,81.239998,82.370003,79.720001,81.769997,81.769997,4154800,83.269997,95
2019-10-30,81.57,83.849998,81.540001,83.269997,83.269997,4150000,82.660004,96
2019-10-31,83.349998,83.5,81.779999,82.660004,82.660004,2548900,82.470001,97
2019-11-01,83.089996,83.190002,82,82.470001,82.470001,2585800,80.919998,98
2019-11-04,82.699997,82.809998,80.449997,80.919998,80.919998,3055800,81.470001,99
2019-11-05,81.059998,81.849998,80.849998,81.470001,81.470001,1622800,81.860001,100
2019-11-06,81.599998,81.949997,81.290001,81.860001,81.860001,2705600,81.860001,101
2019-11-07,82.400002,83.029999,81.57,81.860001,81.860001,2674200,80.940002,102
2019-11-08,81.800003,81.839996,80.830002,80.940002,80.940002,1614800,79.620003,103
2019-11-11,80.589996,81.139999,77.550003,79.620003,79.620003,6388500,77.43,104
2019-11-12,79.620003,79.650002,77.199997,77.43,77.43,4346000,77.970001,105
2019-11-13,77.629997,78.07,76.800003,77.970001,77.970001,2715800,76.839996,106
2019-11-14,77.379997,77.82,76.489998,76.839996,76.839996,2881500,78.07,107
