Date,Open,High,Low,Close,Adj Close,Volume
10/25/2019,81.68,82.18,81.510002,81.620003,81.620003,2006100
10/28/2019,82.010002,83.120003,81.760002,82.389999,82.389999,3054300
10/29/2019,81.239998,82.370003,79.720001,81.769997,81.769997,4154800
10/30/2019,81.57,83.849998,81.540001,83.269997,83.269997,4150000
10/31/2019,83.349998,83.5,81.779999,82.660004,82.660004,2548900
11/1/2019,83.089996,83.190002,82,82.470001,82.470001,2585800
11/4/2019,82.699997,82.809998,80.449997,80.919998,80.919998,3055800
11/5/2019,81.059998,81.849998,80.849998,81.470001,81.470001,1622800
11/6/2019,81.599998,81.949997,81.290001,81.860001,81.860001,2705600
11/7/2019,82.400002,83.029999,81.57,81.860001,81.860001,2674200
11/8/2019,81.800003,81.839996,80.830002,80.940002,80.940002,1614800
11/11/2019,80.589996,81.139999,77.550003,79.620003,79.620003,6388500
11/12/2019,79.620003,79.650002,77.199997,77.43,77.43,4346000
11/13/2019,77.629997,78.07,76.800003,77.970001,77.970001,2715800
11/14/2019,77.379997,77.82,76.489998,76.839996,76.839996,2881500
11/15/2019,77.559998,79.5,77.330002,78.07,78.07,3941400
11/18/2019,76.870003,78.449997,76.330002,78.190002,78.190002,4235800
11/19/2019,78.199997,78.300003,76.919998,77.160004,77.160004,2332900
11/20/2019,76.849998,77.68,76.720001,77.639999,77.639999,2779400
11/21/2019,77.839996,77.940002,77.360001,77.699997,77.699997,1694800
11/22/2019,77.949997,78.779999,77.790001,78.589996,78.589996,2896100
11/25/2019,78.739998,78.870003,77.589996,78,78,2978200
11/26/2019,77.910004,78.690002,77.589996,78.449997,78.449997,2832200
11/27/2019,78.470001,79.300003,78.470001,78.980003,78.980003,2081500
11/29/2019,78.879997,79.279999,78.5,78.550003,78.550003,872900
12/2/2019,78.580002,78.839996,76.860001,77.639999,77.639999,2881400
12/3/2019,77.449997,78.059998,76.809998,78.010002,78.010002,1956600
12/4/2019,78.050003,78.529999,77.440002,78.339996,78.339996,1905500
12/5/2019,78.07,78.199997,76.900002,76.940002,76.940002,2820400
12/6/2019,77.540001,78,76.629997,77.739998,77.739998,2900300
12/9/2019,77.699997,77.900002,75.300003,75.870003,75.870003,4364300
12/10/2019,75.790001,75.910004,74.93,75.019997,75.019997,3080600
12/11/2019,75.080002,75.410004,74.309998,74.620003,74.620003,3374000
12/12/2019,75.230003,75.25,74.459999,74.889999,74.889999,2845600
12/13/2019,74.970001,75.540001,74.650002,75.470001,75.470001,2725400
12/16/2019,75.529999,75.849998,75.230003,75.470001,75.470001,3487900
12/17/2019,75.449997,75.699997,75.019997,75.489998,75.489998,3603800
12/18/2019,75.620003,76.419998,75.459999,76.309998,76.309998,4106300
12/19/2019,76.040001,77.550003,76,77.220001,77.220001,2991900
12/20/2019,77.93,77.93,77.019997,77.400002,77.400002,5944300
12/23/2019,77.470001,77.559998,76.919998,76.959999,76.959999,1709400
12/24/2019,77.050003,77.410004,76.919998,77.32,77.32,470100
12/26/2019,77.459999,77.540001,77.309998,77.400002,77.400002,1240900
12/27/2019,77.32,77.5,77.010002,77.239998,77.239998,1310000
12/30/2019,77.470001,78.099998,77.18,78.080002,78.080002,2342000
12/31/2019,77.940002,78.440002,77.779999,78.419998,78.419998,1714900
1/2/2020,78.879997,78.889999,77.93,78.589996,78.589996,3392700
1/3/2020,78.059998,78.43,77.470001,78.169998,78.169998,1831900
1/6/2020,78.129997,78.849998,77.970001,78.620003,78.620003,2675300
1/7/2020,78.57,79.510002,78.150002,78.919998,78.919998,3262400
1/8/2020,79.220001,79.790001,78.080002,79.419998,79.419998,3037400
1/9/2020,79.769997,80.330002,79.400002,79.809998,79.809998,2981900
1/10/2020,80.209999,80.209999,78.849998,79,79,2224800
1/13/2020,79.169998,79.559998,78.889999,79.400002,79.400002,2283400
1/14/2020,79.169998,79.949997,78.860001,79.800003,79.800003,2050100
1/15/2020,79.860001,80.480003,79.620003,80.269997,80.269997,1612300
1/16/2020,80.269997,81.519997,80.269997,81.440002,81.440002,3109300
1/17/2020,81.949997,82.239998,81.57,82.150002,82.150002,3559600
1/21/2020,81.989998,82.949997,81.800003,82.029999,82.029999,3612000
1/22/2020,82.139999,83.029999,82.07,82.489998,82.489998,1672500
1/23/2020,82.300003,82.370003,81.949997,82.18,82.18,1754900
1/24/2020,82.290001,82.589996,81.330002,81.580002,81.580002,1596500
1/27/2020,80.889999,81.550003,80.379997,80.720001,80.720001,1934600
1/28/2020,81.080002,82.300003,80.93,81.660004,81.660004,2395000
1/29/2020,81.870003,81.889999,80.089996,80.260002,80.260002,2602400
1/30/2020,79.589996,81.050003,79.580002,80.940002,80.940002,2352700
1/31/2020,80.589996,80.790001,79.160004,79.190002,79.190002,2863600
2/3/2020,80.360001,80.760002,79.330002,79.459999,79.459999,2879800
2/4/2020,80.150002,81.889999,79.230003,81.510002,81.510002,4597800
2/5/2020,81.959999,82.709999,81.75,81.790001,81.790001,2758800
2/6/2020,82.129997,83.080002,82,82.769997,82.769997,2976200
2/7/2020,83.370003,85.790001,82.260002,85.440002,85.440002,6740600
2/10/2020,85.410004,85.650002,84.379997,84.529999,84.529999,3423100
2/11/2020,93.699997,95.230003,92.660004,94.489998,94.489998,25874400
2/12/2020,94,96.269997,93.919998,95.669998,95.669998,8915500
2/13/2020,95.120003,96.150002,94.800003,95.139999,95.139999,5490500
2/14/2020,95.260002,96.620003,95.019997,96.480003,96.480003,3045900
2/18/2020,96.849998,100.019997,96.279999,99.879997,99.879997,7460100
2/19/2020,101.160004,101.349998,99.639999,100.489998,100.489998,6091300
2/20/2020,100.099998,100.419998,98.230003,99.5,99.5,6350400
2/21/2020,98.970001,99.489998,96.620003,98.57,98.57,12101000
2/24/2020,96.129997,97.309998,95.879997,96.370003,96.370003,4700900
2/25/2020,96.559998,97,94.449997,94.580002,94.580002,5117500
2/26/2020,94.68,95.660004,93.440002,93.650002,93.650002,4371300
2/27/2020,92.830002,93.32,91.160004,91.239998,91.239998,5855500
2/28/2020,89.440002,90.5,87.480003,90.160004,90.160004,6958100
3/2/2020,90.279999,93.360001,88.980003,93.290001,93.290001,5160600
3/3/2020,92.629997,93.919998,88.769997,89.370003,89.370003,5702000
3/4/2020,90.43,93.959999,90.25,93.809998,93.809998,5222200
3/5/2020,91.610001,93.160004,89.190002,89.860001,89.860001,4941300
3/6/2020,86.099998,88.279999,85.419998,87.860001,87.860001,5978500
3/9/2020,83.269997,84.889999,79.580002,79.75,79.75,7946600
3/10/2020,81.980003,85.010002,80.209999,84.980003,84.980003,6713600
3/11/2020,82.860001,87.830002,82.849998,86.449997,86.449997,8840300
3/12/2020,82.019997,85,76.410004,76.760002,76.760002,9075300
3/13/2020,80.150002,85.519997,76.610001,85.389999,85.389999,7401700
3/16/2020,78.339996,80.550003,74.839996,76.529999,76.529999,6787700
3/17/2020,77.599998,80.400002,75.449997,78.349998,78.349998,7609100
3/18/2020,74.599998,76.099998,63.5,74.32,74.32,11114200
3/19/2020,74.769997,81.989998,73.610001,79.449997,79.449997,8906200
3/20/2020,80,82,73.160004,74.550003,74.550003,6836600
3/23/2020,74.980003,76.660004,70.830002,75.699997,75.699997,8328800
3/24/2020,78.5,79.709999,75.830002,78.650002,78.650002,5929100
3/25/2020,77.769997,85.470001,77.75,79.169998,79.169998,6252700
3/26/2020,80,84.989998,79.730003,84.629997,84.629997,4821300
3/27/2020,82.540001,83.900002,81.019997,81.720001,81.720001,4309600
3/30/2020,82.290001,83.860001,81.239998,83.120003,83.120003,5625200
3/31/2020,83.040001,84.75,81.980003,83.900002,83.900002,6920600
